"owner_id","treat7","treat8","rand_id","holdout","azavea_section","ever_paid_jul","ever_paid_sep","ever_paid_dec","ever_paid_jul16","paid_full_jul","paid_full_sep","paid_full_dec","paid_full_jul16","total_paid_sep","total_paid_dec","earliest_pmt_dec","earliest_pmt_jul16","total_due","assessed_mv","tenure","x_lon","y_lat","kde","flag_holdout_overlap","N","unq_own"
20816,"Sheriff","Sheriff",946,0,"West Philadelphia",1,1,1,1,0,0,1,0,270,546.21,2015-07-03,2016-03-18T00:00:00Z,535.68,60000,24,-75.2274031724,39.9708315147,2.67332277393323e-05,0,1,1
609,"Sheriff","Sheriff",1059,0,"North Philadelphia",0,1,1,1,0,1,1,1,386.05,386.05,2015-08-27,2016-03-08T00:00:00Z,375.28,56800,36,-75.1187679862,39.9913097923,2.56679531845162e-05,0,1,1
7945,"Sheriff","Sheriff",858,0,"West Philadelphia",0,0,1,0,0,0,0,0,0,706.88,2015-12-09,,659.54,47100,21,-75.2212759278,39.9681007581,2.22745398055535e-05,0,1,1
14425,"Sheriff","Sheriff",184,0,"West Philadelphia",1,1,1,0,1,1,1,0,2664.67,2664.67,2015-07-21,,2626.96,187600,9,-75.2430691244,39.9617781269,1.74225699139845e-05,0,3,0
20489,"Sheriff","Sheriff",114,0,"Center City",0,0,1,0,0,0,0,0,0,1000,2015-10-13,,3546.96,253300,8,-75.1791608071,39.9412496884,2.26456078450534e-05,0,1,1
9459,"Sheriff","Sheriff",145,0,"Northwest Philadelphia",0,0,1,1,0,0,0,0,0,2650,2015-12-15,2016-05-10T00:00:00Z,3022.61,222600,7,-75.1961105753,40.0502548503,2.94551854426331e-06,0,1,1
19929,"Sheriff","Sheriff",1008,0,"North Philadelphia",0,0,0,1,0,0,0,0,0,0,,2016-02-16T00:00:00Z,442.49,31600,6,-75.14804698,39.9967961575,2.7161369851562e-05,0,1,1
11894,"Sheriff","Sheriff",889,0,"West Philadelphia",0,0,1,0,0,0,1,0,0,661.85,2015-11-09,,617.53,44100,28,-75.2198720565,39.9308089369,4.65422123079906e-06,0,1,1
3147,"Sheriff","Sheriff",24,0,"North Philadelphia",0,1,1,1,0,0,1,1,651.36,651.36,2015-08-10,2015-10-02T00:00:00Z,9830.11,732000,3,-75.1456704963,39.9642945071,1.55643686002963e-05,0,1,1
17798,"Sheriff","Sheriff",70,0,"Northwest Philadelphia",0,0,1,0,0,0,1,0,0,5308.33,2015-12-09,,4952.86,353700,41,-75.1919459071,40.0449703955,4.09603645372147e-06,0,1,1
3469,"Sheriff","Sheriff",100,0,"Northwest Philadelphia",1,1,1,0,1,1,1,0,3874.63,3874.63,2015-06-15,,3874.63,306700,26,-75.1964900483,40.0556444518,1.11613150868054e-06,0,1,1
1982,"Sheriff","Sheriff",373,0,"North Philadelphia",1,1,1,0,0,0,0,0,1034.02,1048.86,2015-07-13,,1636.15,121200,5.5,-75.1398085759,39.9928111203,2.95540561166445e-05,0,2,0
12849,"Sheriff","Sheriff",209,0,"Northwest Philadelphia",0,0,1,1,0,0,0,1,0,2615.88,2015-12-09,2016-06-30T00:00:00Z,2440.72,174300,26,-75.1618723893,39.9856452002,1.85452495288166e-05,0,1,1
4069,"Sheriff","Sheriff",116,0,"Center City",0,1,1,1,0,1,1,1,3619.98,3619.98,2015-09-21,2016-03-01T00:00:00Z,3518.95,251300,54,-75.1691324626,39.94308087,1.75383993982366e-05,0,1,1
17972,"Sheriff","Sheriff",872,0,"West Philadelphia",1,1,1,1,0,1,1,0,983.28,983.28,2015-06-04,2016-04-05T00:00:00Z,641.79,99300,13,-75.2020990953,40.0046479187,3.90731159536647e-06,0,1,1
14117,"Sheriff","Sheriff",37,0,"West Philadelphia",0,1,1,1,0,1,1,1,7600.08,7600.08,2015-08-31,2016-03-09T00:00:00Z,7387.98,527600,11,-75.2061157968,39.9517933109,2.0004736621346e-06,0,1,1
11389,"Sheriff","Sheriff",504,0,"North Philadelphia",1,1,1,0,1,1,1,0,1288.3,1288.3,2015-07-03,,1270.07,90700,21,-75.1088207246,40.0182786682,6.18841036190569e-06,0,1,1
7479,"Sheriff","Sheriff",533,0,"West Philadelphia",0,0,0,1,0,0,0,1,0,0,,2016-06-27T00:00:00Z,1204.26,86000,8,-75.2322002624,39.9339171044,2.89213764445487e-05,0,1,1
19117,"Sheriff","Sheriff",961,0,"West Philadelphia",1,1,1,1,1,1,1,1,516,516,2015-06-12,2016-05-24T00:00:00Z,516.05,38700,36,-75.2394725888,39.9607957699,3.47792419156615e-05,0,1,1
7265,"Sheriff","Sheriff",648,0,"Northwest Philadelphia",0,1,1,1,0,1,1,1,1023.28,1023.28,2015-09-14,2016-03-05T00:00:00Z,981.04,109100,56,-75.145801465,40.0419418345,9.72942316198212e-06,0,1,1
4355,"Sheriff","Sheriff",818,0,"West Philadelphia",1,1,1,1,1,1,1,1,709.95,709.95,2015-06-24,2016-01-21T00:00:00Z,709.95,50700,35,-75.2185567291,39.9646611161,1.1007962872242e-05,0,1,1
10512,"Sheriff","Sheriff",1247,0,"Northwest Philadelphia",0,0,0,1,1,1,1,1,0,0,,2016-03-16T00:00:00Z,82.83,442100,16,-75.1900298952,40.0121271527,4.96051462063313e-06,0,1,1
6901,"Sheriff","Sheriff",737,0,"North Philadelphia",0,0,1,0,0,0,0,0,0,449.44,2015-10-15,,827.58,59100,51,-75.1497049783,40.0017391036,2.13492375827376e-05,0,1,1
10152,"Sheriff","Sheriff",1018,0,"North Philadelphia",0,1,1,1,0,1,1,0,473.09,441.92,2015-09-14,2015-09-14T00:00:00Z,429.59,61500,16,-75.1391635755,40.0012642692,2.35637013631894e-05,0,1,1
12355,"Sheriff","Sheriff",785,0,"Northwest Philadelphia",1,1,1,1,0,0,0,0,493.27,689.08,2015-06-11,2016-07-01T00:00:00Z,755.85,83400,42,-75.147890826,40.0335058222,7.49759490522211e-06,0,1,1
16617,"Sheriff","Sheriff",713,0,"West Philadelphia",0,0,1,1,0,0,1,1,0,924.49,2015-11-12,2016-04-06T00:00:00Z,862.58,61600,4,-75.2371104559,39.9222290347,1.74225699139845e-05,0,1,1
891,"Sheriff","Sheriff",1303,0,"Northeast Philadelphia",0,0,0,1,0,0,0,1,0,0,,2016-03-01T00:00:00Z,34.21,244800,8,-75.0316469305,40.0746001852,1.80812266580424e-06,0,2,0
11775,"Sheriff","Sheriff",278,0,"South Philadelphia",0,1,1,1,0,1,1,1,2101.69,2072.36,2015-08-03,2015-08-03T00:00:00Z,2043.04,145900,53,-75.153860582,39.9246529844,2.17163541897489e-05,0,1,1
19158,"Sheriff","Sheriff",369,0,"Northeast Philadelphia",0,0,0,1,0,0,0,0,0,0,,2016-02-03T00:00:00Z,1650.91,119100,2,-75.0358402603,40.0980909011,3.20376950170525e-06,0,1,1
17510,"Sheriff","Sheriff",108,0,"Center City",0,0,0,1,0,0,0,1,0,0,,2016-04-20T00:00:00Z,3679.99,262800,15,-75.1810234455,39.9440629327,1.2259781791706e-05,0,1,1
