nnames,pct_na
opa_no,0
address,0
owner1,0
owner2,0.617743024657465
census_tract,0
zip9,0
ward_geographic,0.000713154224334337
street_code,0
house_no,0
add_suffix,0.994881698443052
unit,0
add_extension,0
deed_record_date,0
sale_date,0
sale_price,0.00128580883048123
sale_type,0.223362427501246
unfinished,0.987169535061312
assess_date,0
mv_date,0
market_value,0.00128580883048123
taxable_land,0.00128580883048123
taxable_building,0.00128580883048123
exempt_land,0.00128580883048123
exempt_building,0.00128580883048123
category,0
exempt_code,0.953727019709563
exempt_date,0
building_code,0
zoning,0.000416532555805896
land_use_code,0.999709689430802
designated_area,0.991025616752182
usage,0.975531867896069
site_type,0.450562003395371
frontage,0.00128580883048123
depth,0.00128580883048123
shape,0.00200061848773438
land_area,0.00128580883048123
topography,0.0694284037336464
garage_type,0.0200061848773438
garage_spaces_covered,0.00128580883048123
garage_spaces_open,0.00128580883048123
view,0.0030608831752403
other_bldgs,0.998270758783472
stories,0.00128580883048123
exterior_finish,0.0981628389849228
dwell_type,0.99195334835375
exterior_date,0
exterior_condition,0
quality_grade,0.967232772276603
year_built,0.047196747660017
year_built_est_flag,0.234091296362913
floor_plan,0.910514922594367
rooms,0.00128580883048123
bedrooms,0.00128580883048123
bathrooms,0.00128580883048123
basement,0.458955765504793
basement_area,0.00128580883048123
fireplaces,0.00128580883048123
heater,0.530933853367918
fuel_type,0.991562060195265
central_air,0.574688705025528
interior_condition,0.00381821509488738
amenities,0.995538052773413
improvement_type,0.999551911947542
functional_utility,0.999223734782362
sewer_connected,0.999943200106026
separate_utilities,0.959722564073436
liveable_area,0
off_property_mailing,0.657685972319518
book_and_page,0.00556638960940606
registry_number,0.000612176635048059
cross_reference,0.820985667493421
ward_pseudo,0
opa_book,0
zip5,0
planning_district,0.000713154224334337
cycle,0
i.address,0
address_code,0
return_mail_count_property,0
owner_name,0
mail_address_line1,0.640799218429927
mail_address_line2,0.989971951719139
mail_address_line3,0.999848728372885
mail_city,0.64080552141439
mail_state,0.640912672150263
mail_zip,0.640792915445463
return_mail_count_address,0
min_period,0.759957139705651
max_period,0.759957139705651
case_status,0.646604267120482
bill_suppress_date,0.8293971195361
total_balance,0
delinquent_ind,0
treatment_no,0
prop_count,0
