firm,count,balance_avg,balance_med,balance_q25,balance_q75,balance_q95,years,log_balance_beyond_years,owner_occupied,mv_avg,mv_med,mv_q25,mv_q75,mv_q95,pmt_agreement,sheriff_sale,commercial,most_recent_pmt_avg,return_mail_flag,overall_resid
Linebarger,25164,6077.91518240343,3326.205,1575,7167.2875,20729.666,10.8601971069782,0.255280296244108,0.11965506278811,52625.684390399,36300,7900,68400,152000,0.915156572881895,0.9982912096646,0.0540057224606581,2009.12438265959,0.801621363853124,0.311612184245983
Goehring,36635,4349.41643783267,2098.61,829.225,5099.94,16143.729,7.48117920021837,0.193220597732973,0.148464583048997,78472.8181793367,51200,23900,88600,204900,0.844083526682135,0.999153814658114,0.0611983076293162,2011.38177100227,0.896219462262863,0.216171321322469
In-House,64856,4194.76187785247,1023.465,217.08,4199.5925,16567.1425,4.09154126063895,-0.210891371212958,0.334772418897249,204926.633942889,91000,51800,154800,402050,0.635993585790058,0.92688417417047,0.0815807327001357,2012.46366303673,0.968900333045516,-0.247301926599783
Pioneer,8232,1261.79574586978,757.9,316.67,1374.8925,3568.6,1.06814868804665,0.0212658890613813,0.183551992225462,132445.857628766,81900,51200,136000,347625,0.999878522837707,1,0.0953595724003887,2013.31484605652,0.986637512147716,0.0337911067226645
