"opa_no","x","y"
"884345510",-75.1214909,39.9903279
"884590850",-75.13829435,39.98058015
"884590800",-75.13901705,39.9771352
"124030401",-75.1783185,40.02436535
"884343160",-75.13899775,39.9726599
"183016100",-75.1412326,39.9764921
"884590830",-75.1391656,39.9774686
"882920866",-75.1734749,39.9246598
"888081008",-75.1732106,39.9495285
"888021900",-75.16203455,39.94111045
"888180284",-75.13532095,39.9695695
"151102610",-75.1726347,39.9708001
"881577275",-75.17558895,39.927285
